Ngày đăng bài,Năm SX,Tên xe,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu
16/10/2025,2018,Hyundai SantaFe 2.2L 4WD,Lắp ráp trong nước,Hà Nội,SUV,100000,N/A,Xe cũ,Dầu
16/10/2025,2020,BMW 7 Series 730Li,Nhập khẩu,TP HCM,Sedan,40000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Type Z 1.9L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2014,LandRover Range Rover Sport HSE Dynamic,Nhập khẩu,Hà Nội,SUV,128000,N/A,Xe cũ,Xăng
16/10/2025,2021,VinFast Lux A 2.0 Plus 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,40000,N/A,Xe cũ,Xăng
16/10/2025,2023,Kia Sonet Premium 1.5 AT,Lắp ráp trong nước,Hà Nội,Crossover,40000,N/A,Xe cũ,Xăng
16/10/2025,2013,Toyota Sienna Limited 3.5 AWD,Nhập khẩu,Hà Nội,Van/Minivan,170000,N/A,Xe cũ,Xăng
16/10/2025,2024,Hyundai Accent Cao cấp 1.5 AT,Lắp ráp trong nước,N/A,Sedan,5000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG ZS Standard 1.5 AT 2WD,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Toyota Hilux 2.4L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,75000,N/A,Xe cũ,Dầu
16/10/2025,2010,Acura ZDX SH-AWD,Nhập khẩu,Hà Nội,Crossover,87000,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda CRV e:HEV RS,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Hybrid
16/10/2025,2025,Isuzu MU-X B7 1.9 4X2 MT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2020,Mazda CX8 Premium,Lắp ráp trong nước,Hà Nội,SUV,30000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X B7 1.9 4X2 MT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2020,Toyota Corolla Cross 1.8V,Nhập khẩu,TP HCM,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2023,Kia Sportage Signature 1.6T AWD,Lắp ráp trong nước,Hà Nội,Crossover,17000,N/A,Xe cũ,Xăng
16/10/2025,2018,Mitsubishi Triton 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,0,N/A,Xe cũ,Dầu
16/10/2025,2018,Hyundai SantaFe 2.2L 4WD,Lắp ráp trong nước,Hà Nội,SUV,100000,N/A,Xe cũ,Dầu
16/10/2025,2014,LandRover Range Rover Sport HSE Dynamic,Nhập khẩu,Hà Nội,SUV,128000,N/A,Xe cũ,Xăng
16/10/2025,2021,VinFast Lux A 2.0 Plus 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,40000,N/A,Xe cũ,Xăng
16/10/2025,2014,Mercedes Benz S class S500L,Nhập khẩu,Hà Nội,Sedan,70000,N/A,Xe cũ,Xăng
16/10/2025,2017,Suzuki Grand vitara 2.0 AT,Nhập khẩu,Hà Nội,SUV,80000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X B7 1.9 4X2 MT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Mitsubishi Triton 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,57000,N/A,Xe cũ,Dầu
16/10/2025,2021,Hyundai Elantra 1.6 MT,Lắp ráp trong nước,N/A,Sedan,56000,N/A,Xe cũ,Xăng
16/10/2025,2013,Toyota Sienna Limited 3.5 AWD,Nhập khẩu,Hà Nội,Van/Minivan,170000,N/A,Xe cũ,Xăng
16/10/2025,2024,Hyundai Accent Cao cấp 1.5 AT,Lắp ráp trong nước,N/A,Sedan,5000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG ZS Standard 1.5 AT 2WD,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Toyota Hilux 2.4L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,75000,N/A,Xe cũ,Dầu
16/10/2025,2010,Acura ZDX SH-AWD,Nhập khẩu,Hà Nội,Crossover,87000,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda CRV e:HEV RS,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Hybrid
16/10/2025,2025,Isuzu MU-X B7 1.9 4X2 MT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2020,Mazda CX8 Premium,Lắp ráp trong nước,Hà Nội,SUV,30000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X B7 1.9 4X2 MT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2020,Toyota Corolla Cross 1.8V,Nhập khẩu,TP HCM,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2023,Kia Sportage Signature 1.6T AWD,Lắp ráp trong nước,Hà Nội,Crossover,17000,N/A,Xe cũ,Xăng
16/10/2025,2021,Hyundai i10 1.2 MT,Lắp ráp trong nước,TP,Hatchback,450000,N/A,Xe cũ,Xăng
16/10/2025,2015,Mercedes Benz V class V220d CDI,Nhập khẩu,TP,Van/Minivan,122400,N/A,Xe cũ,Dầu
16/10/2025,2025,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,Hà Nội,SUV,1400,N/A,Xe cũ,Xăng
16/10/2025,2014,Mercedes Benz S class S500L,Nhập khẩu,Hà Nội,Sedan,70000,N/A,Xe cũ,Xăng
16/10/2025,2017,Suzuki Grand vitara 2.0 AT,Nhập khẩu,Hà Nội,SUV,80000,N/A,Xe cũ,Xăng
16/10/2025,2023,Peugeot 408 Premium 1.6 AT,Lắp ráp trong nước,N/A,Crossover,19000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X B7 1.9 4X2 MT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Mitsubishi Triton 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,57000,N/A,Xe cũ,Dầu
16/10/2025,2021,Hyundai Elantra 1.6 MT,Lắp ráp trong nước,N/A,Sedan,56000,N/A,Xe cũ,Xăng
16/10/2025,2024,MG 5 Standard 1.5 AT,Nhập khẩu,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Toyota Camry 2.0Q,Nhập khẩu,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Volkswagen Polo 1.6 AT,Nhập khẩu,N/A,Hatchback,92000,N/A,Xe cũ,Xăng
16/10/2025,2025,Hyundai Tucson 2.0 AT Đặc biệt,Lắp ráp trong nước,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2023,Kia Sportage Signature 1.6T AWD,Lắp ráp trong nước,Hà Nội,Crossover,17000,N/A,Xe cũ,Xăng
16/10/2025,2023,VinFast VF8 Plus AWD,Lắp ráp trong nước,Hà Nội,SUV,30000,N/A,Xe cũ,Điện
16/10/2025,2025,Isuzu MU-X Premium 1.9 4X4 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2016,Mercedes Benz Maybach S400,Nhập khẩu,Hà Nội,Sedan,54000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X B7 Plus 1.9 4X2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Hyundai Creta Đặc biệt 1.5 AT,Lắp ráp trong nước,Hà Nội,Crossover,36000,N/A,Xe cũ,Xăng
16/10/2025,2015,Toyota Fortuner 2.5G,Lắp ráp trong nước,N/A,SUV,146000,N/A,Xe cũ,Dầu
16/10/2025,2023,Toyota Innova E 2.0 MT,Lắp ráp trong nước,TP HCM,Crossover,45268,N/A,Xe cũ,Xăng
16/10/2025,2021,Hyundai i10 1.2 MT,Lắp ráp trong nước,TP,Hatchback,450000,N/A,Xe cũ,Xăng
16/10/2025,2015,Mercedes Benz V class V220d CDI,Nhập khẩu,TP,Van/Minivan,122400,N/A,Xe cũ,Dầu
16/10/2025,2015,Mercedes Benz Maybach S600,Nhập khẩu,Hà Nội,Sedan,94000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,Hà Nội,SUV,1400,N/A,Xe cũ,Xăng
16/10/2025,2016,Honda City 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,130000,N/A,Xe cũ,Xăng
16/10/2025,2023,Peugeot 408 Premium 1.6 AT,Lắp ráp trong nước,N/A,Crossover,19000,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda City L 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Hyundai Elantra 1.6 MT,Lắp ráp trong nước,N/A,Sedan,56000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Innova Cross 2.0 CVT,Nhập khẩu,Hà Nội,Crossover,17000,N/A,Xe cũ,Xăng
16/10/2025,2024,MG 5 Standard 1.5 AT,Nhập khẩu,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Ford Everest Titanium 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,90000,N/A,Xe cũ,Dầu
16/10/2025,2025,Toyota Camry 2.0Q,Nhập khẩu,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Volkswagen Polo 1.6 AT,Nhập khẩu,N/A,Hatchback,92000,N/A,Xe cũ,Xăng
16/10/2025,2025,Hyundai Tucson 2.0 AT Đặc biệt,Lắp ráp trong nước,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2023,VinFast VF8 Plus AWD,Lắp ráp trong nước,Hà Nội,SUV,30000,N/A,Xe cũ,Điện
16/10/2025,2025,Isuzu MU-X Premium 1.9 4X4 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2016,Mercedes Benz Maybach S400,Nhập khẩu,Hà Nội,Sedan,54000,N/A,Xe cũ,Xăng
16/10/2025,2021,Hyundai SantaFe Cao cấp 2.2L HTRAC,Lắp ráp trong nước,Hà Nội,SUV,60000,N/A,Xe cũ,Dầu
16/10/2025,2025,Isuzu MU-X B7 Plus 1.9 4X2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Hyundai Creta Đặc biệt 1.5 AT,Lắp ráp trong nước,Hà Nội,Crossover,36000,N/A,Xe cũ,Xăng
16/10/2025,2015,Toyota Fortuner 2.5G,Lắp ráp trong nước,N/A,SUV,146000,N/A,Xe cũ,Dầu
16/10/2025,2023,Toyota Innova E 2.0 MT,Lắp ráp trong nước,TP HCM,Crossover,45268,N/A,Xe cũ,Xăng
16/10/2025,2017,Mercedes Benz GLC 300 4Matic,Lắp ráp trong nước,Hà Nội,SUV,86000,N/A,Xe cũ,Xăng
16/10/2025,2015,Mercedes Benz Maybach S600,Nhập khẩu,Hà Nội,Sedan,94000,N/A,Xe cũ,Xăng
16/10/2025,2018,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,110000,N/A,Xe cũ,Dầu
16/10/2025,2016,Honda City 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,130000,N/A,Xe cũ,Xăng
16/10/2025,2025,Honda City L 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2009,Toyota Prado TXL 2.7L,Nhập khẩu,Hà Nội,SUV,190000,N/A,Xe cũ,Xăng
16/10/2025,2015,Rolls Royce Phantom 6.7 V12,Nhập khẩu,Hà Nội,Sedan,87000,N/A,Xe cũ,Xăng
16/10/2025,2014,BMW 3 Series 320i,Nhập khẩu,TP HCM,Sedan,0,N/A,Xe cũ,Xăng
16/10/2025,2021,Ford Everest Titanium 2.0L 4x4 AT,Nhập khẩu,Hà Nội,SUV,90000,N/A,Xe cũ,Dầu
16/10/2025,2015,BMW 5 Series 528i GT,Nhập khẩu,Hà Nội,Sedan,15000,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai SantaFe Cao cấp 2.2L HTRAC,Lắp ráp trong nước,N/A,SUV,45000,N/A,Xe cũ,Dầu
16/10/2025,2017,Nissan Navara EL 2.5 AT 2WD,Nhập khẩu,Hà Nội,Bán tải / Pickup,75000,N/A,Xe cũ,Dầu
16/10/2025,2023,Ford Ranger Wildtrak 2.0L 4x4 AT,Lắp ráp trong nước,Hà Nội,Bán tải / Pickup,50000,N/A,Xe cũ,Dầu
16/10/2025,2025,Isuzu MU-X B7 Plus 1.9 4X2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Toyota Corolla altis 1.8V,Nhập khẩu,Hà Nội,Sedan,33000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Camry 2.0Q,Nhập khẩu,TP HCM,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Kia Sedona 2.2L DATH,Lắp ráp trong nước,Hà Nội,Van/Minivan,150000,N/A,Xe cũ,Dầu
16/10/2025,2019,Ford F150 Raptor,Nhập khẩu,Hà Nội,Bán tải / Pickup,0,N/A,Xe cũ,Xăng
16/10/2025,2025,Mitsubishi Xforce Ultimate,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2018,Ford Everest Titanium 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,110000,N/A,Xe cũ,Dầu
16/10/2025,2025,Isuzu MU-X B7 Plus 1.9 4X2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2014,Hyundai Elantra 1.6 AT,Nhập khẩu,Hà Nội,Sedan,42000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Hyundai Accent 1.4 AT Đặc Biệt,Lắp ráp trong nước,Hà Nội,Sedan,43000,N/A,Xe cũ,Xăng
16/10/2025,2023,VinFast VF8 Eco AWD,Lắp ráp trong nước,N/A,SUV,45000,N/A,Xe cũ,Điện
16/10/2025,2020,Ford Ranger XLS 2.2L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,100000,N/A,Xe cũ,Dầu
16/10/2025,2022,Kia Morning Luxury,Lắp ráp trong nước,Hà Nội,Hatchback,50000,N/A,Xe cũ,Xăng
16/10/2025,2022,Kia Sorento Signature 2.2 AT AWD,Lắp ráp trong nước,Hà Nội,SUV,43000,N/A,Xe cũ,Dầu
16/10/2025,2022,Mercedes Benz GLC 300 4Matic Coupe,Nhập khẩu,TP HCM,SUV,54000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Everest Sport 2.0L 4x2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Mercedes Benz C class C200 Avantgarde,Lắp ráp trong nước,TP HCM,Sedan,11000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu MU-X B7 Plus 1.9 4X2 AT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Dầu
16/10/2025,2025,Toyota Yaris Cross 1.5 D-CVT,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Mercedes Benz GLC 300 4Matic,Lắp ráp trong nước,Hà Nội,SUV,80000,N/A,Xe cũ,Xăng
16/10/2025,2021,Mercedes Benz GLC 200,Lắp ráp trong nước,Hà Nội,SUV,19000,N/A,Xe cũ,Xăng
16/10/2025,2017,Porsche Panamera 3.0 V6,Nhập khẩu,Hà Nội,Sedan,100000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Ranger Raptor 2.0L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2023,Mazda CX8 Luxury,Lắp ráp trong nước,TP HCM,SUV,34000,N/A,Xe cũ,Xăng
16/10/2025,2024,Mitsubishi Xpander Premium 1.5 AT,Nhập khẩu,TP HCM,SUV,0,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Vios G 1.5 CVT,Lắp ráp trong nước,Hà Nội,Sedan,N/A,N/A,Xe mới,Xăng
16/10/2025,2022,BMW X6 xDrive40i M Sport,Nhập khẩu,TP HCM,SUV,17777,N/A,Xe cũ,Xăng
16/10/2025,2023,Volvo XC60 Ultimate Bright B6 AWD,Nhập khẩu,Hà Nội,SUV,7000,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,17000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2021,Mercedes Benz GLB 35 4Matic,Nhập khẩu,Hà Nội,SUV,54400,N/A,Xe cũ,Xăng
16/10/2025,2022,VinFast Lux SA 2.0 Tiêu chuẩn,Lắp ráp trong nước,Hà Nội,SUV,64000,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,39000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford Mustang GT Fastback,Nhập khẩu,Hà Nội,Coupe,0,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai Creta Tiêu chuẩn 1.5 AT,Nhập khẩu,Hà Nội,Crossover,20000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford Ranger XLS 2.2L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,100000,N/A,Xe cũ,Dầu
16/10/2025,2022,Kia Morning Luxury,Lắp ráp trong nước,Hà Nội,Hatchback,50000,N/A,Xe cũ,Xăng
16/10/2025,2017,Kia Sorento DATH,Lắp ráp trong nước,Hà Nội,SUV,84000,N/A,Xe cũ,Dầu
16/10/2025,2021,VinFast Lux A 2.0 Plus 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,45000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG HS 1.5T DEL,Nhập khẩu,N/A,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,8000,N/A,Xe cũ,Xăng
16/10/2025,2023,Hyundai Elantra N-Line 1.6 Turbo AT,Lắp ráp trong nước,Hà Nội,Sedan,10000,N/A,Xe cũ,Xăng
16/10/2025,2023,Toyota Corolla Cross 1.8G,Nhập khẩu,Hà Nội,SUV,8000,N/A,Xe cũ,Xăng
16/10/2025,2020,Mitsubishi Outlander 2.0 CVT Premium,Lắp ráp trong nước,Hà Nội,SUV,65000,N/A,Xe cũ,Xăng
16/10/2025,2011,Mercedes Benz S class S300L,Nhập khẩu,Hà Nội,Sedan,76000,N/A,Xe cũ,Xăng
16/10/2025,2013,Honda City 1.5 AT,Lắp ráp trong nước,Hà Nội,Sedan,78000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Veloz Cross Top 1.5 CVT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2009,Toyota Innova G,Lắp ráp trong nước,N/A,Crossover,180000,N/A,Xe cũ,Xăng
16/10/2025,2016,Maserati Levante 3.0 V6,Nhập khẩu,Hà Nội,SUV,60000,N/A,Xe cũ,Xăng
16/10/2025,2016,Suzuki Vitara 1.6 AT,Nhập khẩu,Hà Nội,SUV,110000,N/A,Xe cũ,Xăng
16/10/2025,2022,Kia Carnival Signature 3.5G,Lắp ráp trong nước,Hà Nội,Van/Minivan,55000,N/A,Xe cũ,Xăng
16/10/2025,2014,Mercedes Benz C class C200,Lắp ráp trong nước,Hà Nội,Sedan,97000,N/A,Xe cũ,Xăng
16/10/2025,2022,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,39000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford Mustang GT Fastback,Nhập khẩu,Hà Nội,Coupe,0,N/A,Xe cũ,Xăng
16/10/2025,2022,Hyundai Creta Tiêu chuẩn 1.5 AT,Nhập khẩu,Hà Nội,Crossover,20000,N/A,Xe cũ,Xăng
16/10/2025,2024,Kia Sportage Signature 2.0G,Lắp ráp trong nước,N/A,Crossover,10000,N/A,Xe cũ,Xăng
16/10/2025,2021,VinFast Lux A 2.0 Plus 2.0 AT,Lắp ráp trong nước,Hà Nội,Sedan,45000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG HS 1.5T DEL,Nhập khẩu,N/A,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2017,Kia Sorento DATH,Lắp ráp trong nước,N/A,SUV,92000,N/A,Xe cũ,Dầu
16/10/2025,2021,Honda HRV G,Nhập khẩu,Hà Nội,Crossover,26000,N/A,Xe cũ,Xăng
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,8000,N/A,Xe cũ,Xăng
16/10/2025,2023,Hyundai Elantra N-Line 1.6 Turbo AT,Lắp ráp trong nước,Hà Nội,Sedan,10000,N/A,Xe cũ,Xăng
16/10/2025,2025,MG HS 1.5T LUX,Nhập khẩu,Hà Nội,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2018,Mercedes Benz Maybach S450 4Matic,Nhập khẩu,Hà Nội,Sedan,45000,N/A,Xe cũ,Xăng
16/10/2025,2011,Mercedes Benz S class S300L,Nhập khẩu,Hà Nội,Sedan,76000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Veloz Cross Top 1.5 CVT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2009,Toyota Innova G,Lắp ráp trong nước,N/A,Crossover,180000,N/A,Xe cũ,Xăng
16/10/2025,2020,Honda City 1.5TOP,Lắp ráp trong nước,TP,Sedan,112000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Prado LC250 2.4L,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Suzuki Vitara 1.6 AT,Nhập khẩu,Hà Nội,SUV,110000,N/A,Xe cũ,Xăng
